id,name,category,hosting_eu_option,verify_required,notes
nextcloud,Nextcloud,dms/storage,yes,False,Self‑hosted/EU‑hosted möglich; DSGVO‑freundliche Option
matomo,Matomo,analytics,yes,False,Self‑hosted/EU‑hosted möglich
make,Make (ehem. Integromat),automation,unknown,True,Im Report als Integromat erwähnt; prüfen Sie Datenverarbeitung/Standorte
zapier,Zapier,automation,unknown,True,Globaler Dienst; Datenschutz & Auftragsverarbeitung prüfen
uipath,UiPath,rpa,unknown,True,RPA‑Suite; prüfen (Cloud/On‑Prem‑Optionen)
dataiku,Dataiku,ai_platform,unknown,True,Enterprise‑Plattform; Hosting‑Optionen verifizieren
chatbot_com,Chatbot.com,chatbot,unknown,True,Im Report erwähnt; EU‑Hosting prüfen
huggingface,Hugging Face,models/tools,unknown,True,Open‑source/Hub; Deployment‑Ort je nach Setup
mindsdb,MindsDB,ai_db,unknown,True,Im Report genannt; Hosting prüfen
cognigy,Cognigy,conversational_ai,unknown,True,Enterprise‑Convesational‑AI; EU‑Optionen prüfen
zetico,Zetico,knowledge,unknown,True,Im Report genannt; bitte Anbieter/Hosting verifizieren
miro,Miro,collaboration,unknown,True,Kollaboration; Datenschutz/Standort prüfen
grammarly,Grammarly,writing_assistant,unknown,True,Schreibassistent; Datenschutz/Standort prüfen
